empresa,PS,PSD,BE,CDS,CDU,PAN,A,Livre,IL,Chega,Outros,date,order_i,months
CESOPUCatlica,34,40,8,,8,,,,,,10,2015-09-18,241,2015-09
Aximage,34.7,35.3,5.8,,8.3,,,,,,16,2015-09-17,239,2015-09
CESOPUCatlica,34,41,8,,7,,,,,,10,2015-09-17,239,2015-09
Eurosondagem,35.5,34,5.2,,10.3,,,,,,15,2015-09-16,238,2015-09
Aximage,34.3,40.1,4.7,,8.8,,,,,,12.2,2015-09-07,237,2015-09
Eurosondagem,36,35,4.6,,10.4,,,,,,14,2015-09-02,236,2015-09
Eurosondagem,36.3,34.8,5,,10,,,,,,13.9,2015-08-04,235,2015-08
Aximage,39,38.8,4.1,,7.7,,,,,,10.4,2015-07-16,234,2015-07
Eurosondagem,36.7,34.6,4.8,,10.2,,,,,,13.7,2015-07-07,233,2015-07
Intercampus,37.6,32.7,6,,11,,,,,,12.6,2015-07-04,232,2015-07
CESOPUCatlica,37,38,8,,10,,,,,,7,2015-06-16,231,2015-06
Eurosondagem,36.9,33.3,4.5,,10.5,,,,,,14.8,2015-06-09,230,2015-06
Aximage,39,38.2,4.1,,7.7,,,,,,11.1,2015-06-04,229,2015-06
Eurosondagem,38.1,33.6,4.8,,10.3,,,,,,13.2,2015-05-12,228,2015-05
Aximage,37.9,37.8,4.3,,7.8,,,,,,12.3,2015-05-10,227,2015-05
Eurosondagem,37.5,26.7,4.3,8,10.2,,,,,,13.3,2015-04-15,226,2015-04
Aximage,37.3,30.8,3.5,6.1,9.3,,,,,,12.9,2015-04-08,225,2015-04
Eurosondagem,36.6,26.6,6.9,8.4,11.1,,,,,,10.4,2015-03-12,224,2015-03
Eurosondagem,36.5,27.8,4.4,7.7,10,,,,,,13.6,2015-02-25,223,2015-02
Eurosondagem,38.1,26.7,4,6.9,9,,,,,,15.3,2015-02-11,222,2015-02
Aximage,37.3,30.7,3.9,5.4,9.3,,,,,,13.5,2015-02-08,221,2015-02
Eurosondagem,37.9,26.9,3.5,7.9,9.3,,,,,,14.5,2015-01-14,220,2015-01
Aximage,37.7,31.5,3.6,4.8,7.9,,,,,,14.6,2015-01-12,219,2015-01
Eurosondagem,37.5,25.2,3.3,7.3,10.1,,,,,,16.6,2014-12-10,218,2014-12
Aximage,37.8,31.3,5.3,5.2,7.7,,,,,,12.7,2014-12-04,217,2014-12
Eurosondagem,36.9,25.3,3.6,7.7,10.4,,,,,,16.1,2014-11-11,216,2014-11
Aximage,38.7,31.3,6,5.2,7.9,,,,,,10.8,2014-11-10,215,2014-11
CESOPUCatlica,45,28,4,4,10,,,,,,9,2014-10-13,214,2014-10
Eurosondagem,34.8,26.2,4,8,10.5,,,,,,16.5,2014-10-07,213,2014-10
Aximage,40.4,27.5,7.7,6.1,9.2,,,,,,9,2014-10-04,212,2014-10
Eurosondagem,33,28,4.3,7.5,10.7,,,,,,16.5,2014-09-09,211,2014-09
Aximage,30.9,28.6,5.7,8.4,11.9,,,,,,14.4,2014-09-03,210,2014-09
Eurosondagem,32.1,27.8,4.5,7,11,,,,,,17.6,2014-08-06,209,2014-08
Pitagrica,30,28.1,4.2,6.9,12.7,,,,,,18.1,2014-07-31,208,2014-07
Eurosondagem,32.5,27.5,4.9,6.6,11.1,,,,,,17.4,2014-07-09,207,2014-07
Aximage,31,27.2,6.9,8.3,10.7,,,,,,15.9,2014-07-07,206,2014-07
Eurosondagem,33,26.1,4.8,6.9,11.8,,,,,,17.4,2014-06-05,205,2014-06
Aximage,32,24.9,6,7.8,13,,,,,,16.3,2014-06-04,204,2014-06
Pitagrica,30.6,28,4.8,6.3,14.4,,,,,,15.9,2014-06-01,203,2014-06
Intercampus,29.1,28.7,5.4,2.4,11.4,,,,,,23,2014-05-24,202,2014-05
Eurosondagem,38,26.9,6.6,8.1,10.4,,,,,,10,2014-05-07,201,2014-05
Aximage,36.2,30.5,6.6,6.8,10.5,,,,,,9.3,2014-05-05,200,2014-05
CESOPUCatlica,36,30,7,4,12,,,,,,11,2014-04-14,199,2014-04
Aximage,36.6,32,6.5,6.2,12,,,,,,6.7,2014-04-12,198,2014-04
Eurosondagem,37.3,25.2,7.5,8.1,10.9,,,,,,11,2014-04-09,197,2014-04
Pitagrica,39,27.6,6.9,7.6,10.3,,,,,,8.6,2014-03-30,196,2014-03
Eurosondagem,36.6,26.6,6.9,8.4,11.1,,,,,,10.4,2014-03-12,195,2014-03
Aximage,37,33.5,5.4,5.7,11.8,,,,,,6.5,2014-03-11,194,2014-03
Pitagrica,37.2,28.4,4.9,8.7,10.5,,,,,,10.2,2014-03-01,193,2014-03
Aximage,38.9,32,5.8,5.5,9.9,,,,,,7.9,2014-02-12,191,2014-02
Eurosondagem,36.9,25.6,7,7.7,10.5,,,,,,12.3,2014-02-12,191,2014-02
Pitagrica,37.8,25.8,6.6,7.8,11.4,,,,,,10.6,2014-01-24,190,2014-01
Eurosondagem,37.5,25,6.6,8,10.4,,,,,,12.5,2014-01-15,189,2014-01
Aximage,39.3,31.3,6.4,5.9,9.4,,,,,,7.7,2014-01-10,188,2014-01
Pitagrica,36.7,25.7,6.7,9,11.2,,,,,,10.7,2013-12-15,187,2013-12
Eurosondagem,36.5,26.5,6.5,8.5,10,,,,,,12,2013-12-10,186,2013-12
Aximage,37,30.1,6.4,8.4,9.9,,,,,,8.1,2013-12-09,185,2013-12
Marktest,35.6,25.6,6.5,1.5,17.2,,,,,,13.6,2013-11-21,184,2013-11
Aximage,37.4,28.8,6.9,9.5,10.4,,,,,,7,2013-11-09,183,2013-11
Eurosondagem,37.3,25.6,5.9,8.4,11.1,,,,,,11.7,2013-11-05,182,2013-11
Marktest,35.8,26.2,5.5,2.3,16.6,,,,,,13.6,2013-10-25,181,2013-10
Pitagrica,36.7,23.7,6.6,8.6,13.2,,,,,,11.2,2013-10-19,180,2013-10
Eurosondagem,36.5,26.9,5.9,8.6,12.1,,,,,,10,2013-10-08,179,2013-10
Intercampus,39,27,7,4,11,,,,,,12,2013-09-29,178,2013-09
Marktest,36.6,28.5,7.3,2.5,11.5,,,,,,13.6,2013-09-19,177,2013-09
Eurosondagem,38,26.5,6.5,6.5,12.5,,,,,,10,2013-09-11,176,2013-09
Aximage,36.5,29,6.8,7.9,12.2,,,,,,7.7,2013-09-03,175,2013-09
Eurosondagem,37.4,24.4,7.5,7.7,12.5,,,,,,10.5,2013-07-31,174,2013-07
CESOPUCatlica,35,32,7,3,11,,,,,,12,2013-07-29,173,2013-07
Pitagrica,34.6,24.1,8.7,8.1,13.1,,,,,,11.5,2013-07-28,172,2013-07
Marktest,34.2,27.6,8.6,5.2,10.8,,,,,,13.6,2013-07-18,171,2013-07
Aximage,38.6,28.9,6.9,6,10.8,,,,,,8.7,2013-07-11,170,2013-07
Eurosondagem,37,25,8,8,12,,,,,,10,2013-07-10,169,2013-07
Pitagrica,33.9,23.7,8.9,9.1,13.2,,,,,,11.2,2013-07-02,168,2013-07
Aximage,36.7,24,8.7,9.7,11.9,,,,,,9,2013-06-07,167,2013-06
Eurosondagem,36.9,24.8,8,7.7,13,,,,,,9.6,2013-06-04,166,2013-06
Marktest,34.6,25,8.2,5.6,13.1,,,,,,13.6,2013-05-30,165,2013-05
Pitagrica,32.7,25.4,9.4,9.5,12.6,,,,,,10.4,2013-05-28,164,2013-05
Aximage,37.1,27.4,6.7,9.9,9.8,,,,,,9.1,2013-05-10,163,2013-05
Eurosondagem,36,25.9,8.8,8.4,12.1,,,,,,8.8,2013-05-08,162,2013-05
Pitagrica,28.6,26.9,8.7,12,12.8,,,,,,11,2013-04-20,161,2013-04
Eurosondagem,35,26.5,8.5,8.5,12.5,,,,,,17.5,2013-04-10,160,2013-04
Aximage,33.9,26.3,8.1,9.8,12.5,,,,,,9.4,2013-04-04,159,2013-04
Pitagrica,36.7,25.7,7.9,10.6,11.2,,,,,,7.9,2013-03-24,158,2013-03
CESOPUCatlica,31,28,8,5,12,,,,,,16,2013-03-11,157,2013-03
Aximage,32.5,25.8,7.3,12.4,12.5,,,,,,9.5,2013-03-06,156,2013-03
Eurosondagem,35.2,27,8,9,12.1,,,,,,8.7,2013-03-05,155,2013-03
Pitagrica,35.1,26.4,8.6,10.7,10.7,,,,,,8.4,2013-02-24,154,2013-02
Aximage,32.7,29.7,6.4,8.9,11.7,,,,,,10.5,2013-02-08,153,2013-02
Eurosondagem,34.1,27.6,8.4,9.5,11.6,,,,,,8.8,2013-02-05,152,2013-02
Pitagrica,33.8,28.6,8,10.2,12,,,,,,7.5,2013-01-25,151,2013-01
Marktest,32.6,27.9,13.3,5.2,12.4,,,,,,8.6,2013-01-21,150,2013-01
Aximage,33.7,27,7.6,10.6,12.1,,,,,,9,2013-01-09,149,2013-01
Eurosondagem,34.3,26.9,8.8,9.6,10.3,,,,,,10.1,2013-01-08,148,2013-01
Pitagrica,34.6,29,8.4,11.4,11.2,,,,,,5.4,2012-12-18,147,2012-12
Eurosondagem,34,26.4,9,10,11,,,,,,9.6,2012-12-14,146,2012-12
Aximage,32.9,29.8,7.6,8,11,,,,,,9.6,2012-12-07,145,2012-12
Pitagrica,36.2,26.4,7.5,9.8,9.8,,,,,,10.2,2012-11-16,144,2012-11
Eurosondagem,35,26.9,9.5,10.1,10,,,,,,8.5,2012-11-13,143,2012-11
Aximage,33.9,27.7,7.9,8.3,10.1,,,,,,12,2012-11-06,142,2012-11
Pitagrica,34.1,29.5,7.2,8.3,9.1,,,,,,11.7,2012-10-13,141,2012-10
Eurosondagem,34.8,30,7.7,10,9.5,,,,,,8,2012-10-09,140,2012-10
Aximage,36.6,27.1,7.6,8.6,10.3,,,,,,9.8,2012-10-04,139,2012-10
Marktest,29.6,20.2,8.6,5.2,10.1,,,,,,26.3,2012-09-20,138,2012-09
CESOPUCatlica,31,24,11,7,13,,,,,,3,2012-09-17,137,2012-09
Eurosondagem,33.7,33,7,10.3,9.3,,,,,,6.7,2012-09-13,136,2012-09
Aximage,37,34.8,5.5,7.4,8,,,,,,7.3,2012-09-06,135,2012-09
Eurosondagem,33,34.1,6.6,10.1,8.8,,,,,,7.4,2012-08-14,134,2012-08
Marktest,25.8,26.7,6.9,4.4,9.9,,,,,,26.3,2012-07-20,133,2012-07
Eurosondagem,32.5,34.6,6.9,10.1,8.7,,,,,,7.2,2012-07-10,132,2012-07
Aximage,32.8,37.3,5.7,8.4,8.3,,,,,,7.5,2012-07-04,131,2012-07
Marktest,29.2,31.3,5.4,2.8,9.5,,,,,,21.8,2012-06-22,130,2012-06
Eurosondagem,32.1,34.3,6.4,10.7,9,,,,,,7.5,2012-06-12,129,2012-06
Aximage,29.8,38.6,5.3,7.9,10.7,,,,,,7.7,2012-06-06,128,2012-06
CESOPUCatlica,33,36,9,6,9,,,,,,7,2012-05-28,127,2012-05
Eurosondagem,31.2,34.8,6,11.6,8.8,,,,,,7.6,2012-05-15,126,2012-05
Aximage,31.2,39.2,4.6,6.7,10.5,,,,,,7.7,2012-05-05,125,2012-05
Marktest,25.4,31.4,7.8,3.6,10.2,,,,,,21.6,2012-04-20,124,2012-04
Eurosondagem,30.5,35.3,6.4,10.7,9.1,,,,,,8,2012-04-17,123,2012-04
Aximage,30,37.7,4.3,9.4,10.9,,,,,,7.8,2012-04-05,122,2012-04
Marktest,20.5,36.5,6.3,5.2,7.6,,,,,,23.9,2012-03-23,121,2012-03
Eurosondagem,29.6,36,6.9,12,8.5,,,,,,7,2012-03-13,120,2012-03
Aximage,33.6,38.8,3.1,7,9.9,,,,,,7.7,2012-03-07,119,2012-03
Marktest,25.9,30.2,6,3.9,9.3,,,,,,24.7,2012-02-22,118,2012-02
Eurosondagem,30,35,6.5,11.7,8.5,,,,,,8.3,2012-02-07,117,2012-02
Aximage,31.7,39.3,2.9,9.3,9.2,,,,,,7.5,2012-02-04,116,2012-02
Marktest,25.2,37.6,7.7,4,6.1,,,,,,19.4,2012-01-21,115,2012-01
Eurosondagem,30.3,36.4,6.4,12.1,7.7,,,,,,7.1,2012-01-10,114,2012-01
Aximage,31.2,39.4,2.6,9.7,11.1,,,,,,5.9,2012-01-06,113,2012-01
Eurosondagem,30,36,6.4,12.5,8.8,,,,,,6.3,2011-12-13,112,2011-12
Eurosondagem,29.6,36.3,6.1,12.1,9,,,,,,6.9,2011-11-15,111,2011-11
Aximage,27.7,42.6,3.6,9.8,11,,,,,,5.3,2011-11-10,110,2011-11
Eurosondagem,29.2,36.9,6.3,12.5,8.8,,,,,,6.3,2011-10-25,109,2011-10
Marktest,19.7,41.6,4.2,5.3,10.5,,,,,,18.7,2011-10-22,108,2011-10
Aximage,26.9,42.5,5.2,10.5,7.9,,,,,,7.1,2011-10-05,107,2011-10
Eurosondagem,28.2,39.3,5.3,12.1,8.2,,,,,,6.9,2011-09-27,106,2011-09
Marktest,23.3,47.1,2.7,4,6.8,,,,,,16.1,2011-09-23,105,2011-09
CESOPUCatlica,33,43,6,6,7,,,,,,5,2011-09-11,104,2011-09
Aximage,26.8,43.7,3.4,7.6,9.6,,,,,,8.8,2011-09-10,103,2011-09
Eurosondagem,26.9,39.6,5.5,12.5,8.4,,,,,,7.1,2011-08-30,102,2011-08
Eurosondagem,26.3,40,5.1,13.1,8,,,,,,7.5,2011-07-19,101,2011-07
Aximage,24,42,5.9,10.3,7.5,,,,,,7.3,2011-07-08,100,2011-07
Eurosondagem,25,40.8,4.8,13.6,7.7,,,,,,8.1,2011-06-28,99,2011-06
Eurosondagem,31,35.5,6.3,13,8.2,,,,,,6,2011-06-02,97,2011-06
Aximage,29.2,37.4,6.7,12.5,8,,,,,,6.2,2011-06-02,97,2011-06
Aximage,30.1,36.3,6.6,12.4,8.1,,,,,,6.5,2011-06-01,94,2011-06
Intercampus,31.1,36.5,6,11.6,7.4,,,,,,7.3,2011-06-01,94,2011-06
Eurosondagem,31.1,35.9,5.9,13,7.8,,,,,,6.3,2011-06-01,94,2011-06
Marktest,30.1,38.5,4.5,9.7,8.5,,,,,,8.8,2011-05-31,92,2011-05
Eurosondagem,31.3,35.4,6,13.4,7.9,,,,,,6,2011-05-31,92,2011-05
Eurosondagem,32.2,35.5,6.3,12.6,7.6,,,,,,5.8,2011-05-30,91,2011-05
CESOPUCatlica,31,36,7,11,8,,,,,,7,2011-05-29,88,2011-05
Intercampus,32.3,37,5.2,12.7,7.7,,,,,,5.2,2011-05-29,88,2011-05
Eurosondagem,32.1,34.7,6.3,12.9,7.7,,,,,,6.3,2011-05-29,88,2011-05
Eurosondagem,32.4,33.7,6.4,13.2,7.8,,,,,,6.5,2011-05-27,87,2011-05
Eurosondagem,32.3,33.9,6.3,13.4,7.9,,,,,,6.2,2011-05-26,85,2011-05
Intercampus,34.1,35.8,6.5,11.4,7.7,,,,,,4.5,2011-05-26,85,2011-05
Eurosondagem,32.5,33.6,6.5,12.8,8.1,,,,,,6.5,2011-05-25,84,2011-05
Eurosondagem,32,33.7,6.7,13.2,8.1,,,,,,6.3,2011-05-24,83,2011-05
Eurosondagem,32.6,33.1,6.6,13.7,7.6,,,,,,6.4,2011-05-23,82,2011-05
CESOPUCatlica,36,36,6,10,9,,,,,,3,2011-05-22,80,2011-05
Intercampus,33.2,39.6,5.6,12.1,6.6,,,,,,3,2011-05-22,80,2011-05
Intercampus,34.1,35.7,6.8,12.8,7.5,,,,,,3.2,2011-05-19,79,2011-05
Aximage,32.2,33.9,5.7,14.1,8,,,,,,6.2,2011-05-18,78,2011-05
Intercampus,35.4,36.1,6.2,12.6,7.5,,,,,,2.2,2011-05-15,77,2011-05
Intercampus,36.8,33.9,6,13.4,7.4,,,,,,2.4,2011-05-12,76,2011-05
Marktest,33.4,39.7,4.8,9,6.5,,,,,,6.6,2011-05-10,75,2011-05
Intercampus,35.1,36.2,6.5,10.9,7.7,,,,,,3.6,2011-05-08,74,2011-05
Intercampus,34.8,37,7,10.5,7.9,,,,,,2.8,2011-05-05,73,2011-05
Eurosondagem,32.5,35.8,6.6,11.1,7.7,,,,,,6.3,2011-05-03,72,2011-05
Aximage,30.5,33.9,8.3,12.1,10,,,,,,5.3,2011-05-02,71,2011-05
CESOPUCatlica,36,34,5,10,9,,,,,,6,2011-05-01,70,2011-05
Eurosondagem,32.7,36.3,6.9,11.3,7.8,,,,,,5,2011-04-19,69,2011-04
Marktest,36.1,35.3,6,7.5,8.1,,,,,,7,2011-04-17,68,2011-04
Intercampus,33.1,38.7,7.6,9.4,8.1,,,,,,3.1,2011-04-10,67,2011-04
CESOPUCatlica,33,39,6,7,8,,,,,,7,2011-04-03,66,2011-04
Eurosondagem,30.4,37.2,7.7,10.7,8.4,,,,,,5.5,2011-03-30,64,2011-03
Aximage,30.1,36.8,6.9,11.4,9,,,,,,5.8,2011-03-30,64,2011-03
Intercampus,32.8,42.2,7.9,8.7,7.1,,,,,,1.2,2011-03-26,63,2011-03
Marktest,24.5,46.7,8.9,6.3,6.7,,,,,,6.9,2011-03-23,62,2011-03
Aximage,28.8,39.1,6.7,9.2,11,,,,,,5.3,2011-03-07,61,2011-03
Eurosondagem,30.6,36.9,7.8,9.8,8.7,,,,,,6.3,2011-02-28,60,2011-02
Marktest,29.1,47.8,5.9,4.2,6.1,,,,,,6.9,2011-02-23,59,2011-02
Eurosondagem,29.3,36.4,9.5,10.3,9.1,,,,,,5.5,2011-02-08,58,2011-02
Aximage,28.7,39.1,6.7,9.8,9.6,,,,,,6,2011-02-03,57,2011-02
Eurosondagem,30.3,37.4,9.4,9.5,8.4,,,,,,5,2011-01-21,56,2011-01
Intercampus,30.8,36.8,7.3,5.8,7.1,,,,,,12.2,2011-01-19,55,2011-01
Marktest,26.3,46.1,6,7,7.8,,,,,,6.8,2011-01-16,54,2011-01
Eurosondagem,29.7,37.2,9,10.1,8.7,,,,,,5.3,2011-01-11,53,2011-01
Aximage,26.6,40.1,7.9,9.2,10.4,,,,,,5.9,2011-01-06,52,2011-01
Eurosondagem,30.2,36.2,9.3,9.7,8.4,,,,,,6.1,2010-12-07,50,2010-12
Aximage,28,41,7.6,9.1,8.7,,,,,,5.6,2010-12-07,50,2010-12
Marktest,26.9,44.3,8.7,6.9,6.7,,,,,,6.5,2010-11-19,49,2010-11
Eurosondagem,30,37,9.1,9.3,8.8,,,,,,5.8,2010-11-09,48,2010-11
Aximage,28,37.2,8.9,9.6,10.4,,,,,,5.8,2010-10-29,47,2010-10
CESOPUCatlica,26,40,12,7,8,,,,,,7,2010-10-25,46,2010-10
Marktest,25.1,42,9.8,8.1,8.3,,,,,,6.7,2010-10-24,45,2010-10
Intercampus,30.5,39.2,11,8.5,9.7,,,,,,1,2010-10-17,44,2010-10
Intercampus,30.1,41.6,10.7,7.7,8.8,,,,,,1.1,2010-10-15,43,2010-10
Eurosondagem,35.2,35.2,7.8,8,8.4,,,,,,5.2,2010-10-12,42,2010-10
Intercampus,32,35.2,10.6,9.1,11.1,,,,,,2,2010-10-06,41,2010-10
Aximage,33.7,32.7,9.2,10.9,8.1,,,,,,5.4,2010-10-04,40,2010-10
Marktest,35.7,38,6.5,6.7,6.5,,,,,,6.6,2010-09-17,39,2010-09
Aximage,35.5,33.8,8.7,8.3,9,,,,,,4.6,2010-09-09,38,2010-09
Eurosondagem,36,35.7,7.1,8.5,7.7,,,,,,5,2010-09-07,37,2010-09
Eurosondagem,35,36,7.2,9.1,8.1,,,,,,4.8,2010-08-02,36,2010-08
Marktest,27.6,43.9,7.7,7.5,7.1,,,,,,6.2,2010-07-26,35,2010-07
Intercampus,34.4,39.2,9,5.9,9.5,,,,,,2.1,2010-07-19,34,2010-07
Euroexpanso,31.6,41,6.6,3.8,6.3,,,,,,10.6,2010-07-11,33,2010-07
Eurosondagem,33.7,36.1,7.7,9.6,8,,,,,,4.9,2010-07-06,32,2010-07
Aximage,32.3,36.8,8.6,7.1,11,,,,,,4.2,2010-07-04,31,2010-07
CESOPUCatlica,34,37,6,6,10,,,,,,7,2010-06-21,30,2010-06
Marktest,24.1,47.7,8.9,6.9,6,,,,,,6.4,2010-06-20,29,2010-06
Eurosondagem,34.8,34.9,7.7,10.1,7.6,,,,,,4.9,2010-06-08,28,2010-06
Aximage,32.8,33.9,10.4,7.9,10.6,,,,,,4.3,2010-06-07,27,2010-06
Marktest,27.6,43.9,7.7,7.5,7.1,,,,,,6.2,2010-05-20,26,2010-05
Eurosondagem,36.1,33,7.2,11.3,7.6,,,,,,4.7,2010-05-18,25,2010-05
Aximage,32.2,33.6,9.2,8.7,11.1,,,,,,5.2,2010-05-07,24,2010-05
Intercampus,35.8,41.6,7.8,5.8,7.8,,,,,,1.1,2010-04-30,23,2010-04
Marktest,34,39.8,8.3,4.5,7.2,,,,,,6.2,2010-04-25,22,2010-04
Eurosondagem,35.9,28.4,8,13.1,8.3,,,,,,6.2,2010-04-13,21,2010-04
Aximage,33.9,32,8.7,11.4,9.1,,,,,,4.9,2010-04-08,20,2010-04
Marktest,35.6,30.8,11,9.9,6.6,,,,,,6.1,2010-03-21,19,2010-03
Eurosondagem,36.9,26.2,8.8,14.8,8.4,,,,,,4.9,2010-03-09,16,2010-03
Aximage,37,27.3,9.7,12.5,8.1,,,,,,5.4,2010-03-09,16,2010-03
CESOPUCatlica,41,33,6,10,6,,,,,,4,2010-03-09,16,2010-03
Intercampus,34.3,29.1,8.5,6.6,5.3,,,,,,16.1,2010-02-27,15,2010-02
Marktest,35.9,30.9,10.6,9.5,6.8,,,,,,6.3,2010-02-21,14,2010-02
Aximage,35.5,28.8,10.1,11.7,9.1,,,,,,4.8,2010-02-13,13,2010-02
Eurosondagem,38.2,26.9,8.3,13.6,8.2,,,,,,4.7,2010-02-09,12,2010-02
Aximage,36.4,26.7,9.3,13,9.4,,,,,,5.2,2010-02-05,11,2010-02
Marktest,40.5,29.2,5.5,10.2,8.5,,,,,,6.1,2010-01-23,10,2010-01
Eurosondagem,38.1,27.4,9.2,12.1,8.3,,,,,,4.8,2010-01-12,9,2010-01
Aximage,35.3,28,10.6,12.4,8.7,,,,,,5.1,2010-01-11,8,2010-01
Aximage,35.1,26.3,11.3,13,8.3,,,,,,5.9,2009-12-10,7,2009-12
Eurosondagem,38.4,26.9,9.2,12.8,7.7,,,,,,5,2009-12-01,6,2009-12
Marktest,41.7,25.6,8,12.1,6.5,,,,,,6.1,2009-11-19,5,2009-11
Aximage,37.1,28.8,9.3,10.9,8.2,,,,,,5.7,2009-11-06,4,2009-11
Eurosondagem,38.8,27.6,8.4,12.5,8,,,,,,4.8,2009-11-03,3,2009-11
Marktest,42.9,23.7,8.8,12.5,6,,,,,,6.1,2009-10-24,2,2009-10
Aximage,38.3,27.6,11.7,10.5,6.5,,,,,,5.3,2009-10-15,1,2009-10
